
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:82           127.0.0.1:1061         ESTABLISHED
  TCP    127.0.0.1:84           127.0.0.1:1057         ESTABLISHED
  TCP    127.0.0.1:1024         127.0.0.1:1047         ESTABLISHED
  TCP    127.0.0.1:1025         127.0.0.1:1052         ESTABLISHED
  TCP    127.0.0.1:1041         127.0.0.1:9130         ESTABLISHED
  TCP    127.0.0.1:1045         127.0.0.1:9130         ESTABLISHED
  TCP    127.0.0.1:1046         127.0.0.1:9130         ESTABLISHED
  TCP    127.0.0.1:1047         127.0.0.1:1024         ESTABLISHED
  TCP    127.0.0.1:1050         127.0.0.1:9130         ESTABLISHED
  TCP    127.0.0.1:1051         127.0.0.1:9130         ESTABLISHED
  TCP    127.0.0.1:1052         127.0.0.1:1025         ESTABLISHED
  TCP    127.0.0.1:1057         127.0.0.1:84           ESTABLISHED
  TCP    127.0.0.1:1061         127.0.0.1:82           ESTABLISHED
  TCP    127.0.0.1:1276         127.0.0.1:1433         ESTABLISHED
  TCP    127.0.0.1:1295         127.0.0.1:1433         ESTABLISHED
  TCP    127.0.0.1:1433         127.0.0.1:1276         ESTABLISHED
  TCP    127.0.0.1:1433         127.0.0.1:1295         ESTABLISHED
  TCP    127.0.0.1:1433         127.0.0.1:1999         ESTABLISHED
  TCP    127.0.0.1:1433         127.0.0.1:3278         ESTABLISHED
  TCP    127.0.0.1:1999         127.0.0.1:1433         ESTABLISHED
  TCP    127.0.0.1:3278         127.0.0.1:1433         ESTABLISHED
  TCP    127.0.0.1:3647         127.0.0.1:1034         TIME_WAIT
  TCP    127.0.0.1:3648         127.0.0.1:9343         TIME_WAIT
  TCP    127.0.0.1:9130         127.0.0.1:1041         ESTABLISHED
  TCP    127.0.0.1:9130         127.0.0.1:1045         ESTABLISHED
  TCP    127.0.0.1:9130         127.0.0.1:1046         ESTABLISHED
  TCP    127.0.0.1:9130         127.0.0.1:1050         ESTABLISHED
  TCP    127.0.0.1:9130         127.0.0.1:1051         ESTABLISHED
  TCP    206.135.31.132:25      206.135.31.231:2221    TIME_WAIT
  TCP    206.135.31.132:110     206.135.31.231:2220    TIME_WAIT
  TCP    206.135.31.154:25      61.189.240.138:21983   TIME_WAIT
  TCP    206.135.31.154:25      72.36.148.211:1978     TIME_WAIT
  TCP    206.135.31.154:80      66.196.91.120:54527    TIME_WAIT
  TCP    206.135.31.154:80      66.196.91.125:34088    TIME_WAIT
  TCP    206.135.31.154:80      68.142.250.17:38217    TIME_WAIT
  TCP    206.135.31.154:80      68.142.250.17:38250    TIME_WAIT
  TCP    206.135.31.177:25      221.202.103.47:1718    TIME_WAIT
  TCP    206.135.31.177:25      221.202.103.47:1719    TIME_WAIT
  TCP    206.135.31.199:20      72.225.235.228:1631    TIME_WAIT
  TCP    206.135.31.199:20      72.225.235.228:1632    TIME_WAIT
  TCP    206.135.31.199:20      72.225.235.228:1633    TIME_WAIT
  TCP    206.135.31.199:20      72.225.235.228:1634    TIME_WAIT
  TCP    206.135.31.199:20      72.225.235.228:1635    TIME_WAIT
  TCP    206.135.31.199:20      72.225.235.228:1636    TIME_WAIT
  TCP    206.135.31.199:20      72.225.235.228:1637    TIME_WAIT
  TCP    206.135.31.199:20      72.225.235.228:1638    ESTABLISHED
  TCP    206.135.31.199:21      72.225.235.228:2072    ESTABLISHED
  TCP    206.135.31.199:80      65.55.246.113:3704     ESTABLISHED
  TCP    206.135.31.199:83      65.55.246.113:61847    TIME_WAIT
  TCP    206.135.31.199:83      65.55.246.113:61901    TIME_WAIT
